x,y
390,0.0012985236918563728
391,0.012798871618441851
392,0.02429921954502733
393,0.035799567471612816
394,0.05059415671042452
395,0.06606448775687238
396,0.08153481880332024
397,0.09291114665608362
398,0.10217444060242918
399,0.11143773454877474
400,0.12523412978801282
401,0.14376071768070395
402,0.16228730557339507
403,0.1800999400681373
404,0.19638947398058854
405,0.2126790078930397
406,0.22825056613487754
407,0.23971940625892443
408,0.2511882463829713
409,0.26265708650701824
410,0.2808793224347621
411,0.29924837131476023
412,0.31761742019475847
413,0.33904339629977726
414,0.36119338148440633
415,0.3833433666690354
416,0.40537268367372936
417,0.4273336220431268
418,0.44929456041252436
419,0.4719339221046676
420,0.49534421939084017
421,0.5187545166770128
422,0.5446800751360533
423,0.5765344635025682
424,0.6083888518690832
425,0.6396921888805612
426,0.6672300082992891
427,0.6947678277180172
428,0.7223056471367452
429,0.7441720620985269
430,0.7657864146399997
431,0.7874007671814728
432,0.8060386379512151
433,0.8238720541880573
434,0.8417054704248994
435,0.8555146028609084
436,0.8668259039722623
437,0.8781372050836164
438,0.8889839337022204
439,0.8992554773298009
440,0.9095270209573814
441,0.919345388531428
442,0.9279785264270017
443,0.9366116643225756
444,0.9449330760866504
445,0.9506359883461354
446,0.9563389006056203
447,0.9620418128651052
448,0.9700159684224782
449,0.9781449814774343
450,0.9862739945323906
451,0.9908553630972573
452,0.9943527291790407
453,0.9978500952608242
454,0.9994328595543054
455,0.9997164297771528
456,1.0
457,0.9990902959990454
458,0.9965696717959581
459,0.9940490475928709
460,0.9900884497758925
461,0.9819279289183975
462,0.9737674080609026
463,0.9657409629588909
464,0.9591558322283257
465,0.9525707014977604
466,0.945985570767195
467,0.9320497367422542
468,0.9174301163643481
469,0.9028104959864424
470,0.8936578145383706
471,0.8863795121519561
472,0.8791012097655417
473,0.8697051808212677
474,0.8587404655378382
475,0.8477757502544087
476,0.8366454514129573
477,0.8252711346965262
478,0.8138968179800952
479,0.8023233987667712
480,0.7900983713817981
481,0.7778733439968252
482,0.7655960270672136
483,0.7525517968162372
484,0.7395075665652608
485,0.7264633363142843
486,0.7096462143040061
487,0.6923799385128586
488,0.675113662721711
489,0.6566165714952262
490,0.6376488743669948
491,0.6186811772387636
492,0.5980925042267382
493,0.5761945814624182
494,0.5542966586980977
495,0.5304559782368234
496,0.5034852992637898
497,0.476514620290757
498,0.4485651883026949
499,0.4169943701590272
500,0.38542355201536016
501,0.35424557583525856
502,0.3319065438353979
503,0.30956751183553766
504,0.28722847983567695
505,0.27629594273356334
506,0.2670326487872177
507,0.2577693548408723
508,0.24967855337622866
509,0.24208517296442836
510,0.23449179255262817
511,0.22691517161026328
512,0.21935329900100153
513,0.21179142639173998
514,0.20391045348442785
515,0.19546636240408558
516,0.18702227132374333
517,0.1785057793354402
518,0.16968359462463484
519,0.16086140991382952
520,0.15203520293035985
521,0.14302397140432294
522,0.13401273987828602
523,0.12500150835224913
524,0.11746511013652941
525,0.110186807750115
526,0.10290850536370057
527,0.09417145875762735
528,0.08475062579858877
529,0.0753297928395502
530,0.06706737440788806
531,0.059915103231628
532,0.05276283205536794
533,0.04518151846156111
534,0.03676893518375762
535,0.028356351905953935
536,0.02022800922977499
537,0.01348533948651676
538,0.006742669743258381
539,0.0
