"x","y"
350.2194,0.0013
356.0119,0.0223
364.0425,0.0557
369.4401,0.085
371.5464,0.1064
376.2858,0.1451
379.8403,0.1959
383.3948,0.26
385.6328,0.3335
387.4759,0.4003
389.9772,0.5031
391.162,0.5606
393.0051,0.6233
394.8482,0.6661
396.9545,0.7182
399.8508,0.7689
402.7471,0.8161
406.3016,0.8624
409.1978,0.8931
411.6991,0.9199
413.9372,0.9372
417.2284,0.9599
419.598,0.9706
421.3095,0.98
424.9956,0.988
429.2084,0.9973
430.6565,0.9973
434.0793,0.992
436.449,0.9853
438.9503,0.9733
441.7149,0.9568
444.0846,0.9452
446.5859,0.9225
448.5606,0.9007
451.5886,0.8713
454.4848,0.8397
456.4595,0.8072
458.6976,0.7787
460.8039,0.7382
462.5154,0.7004
464.0951,0.6581
465.6749,0.614
467.7813,0.5445
469.0978,0.4978
470.5459,0.4524
472.1257,0.4136
473.5738,0.3629
475.1536,0.3188
477.26,0.2654
479.2347,0.2213
481.2094,0.1772
482.7892,0.1532
484.8956,0.1184
486.8703,0.0984
489.1083,0.077
491.3463,0.0623
494.2426,0.0454
497.4021,0.0303
501.0883,0.0169
504.9061,0.0089
509.9087,-0.0018
